class,precision,recall,f1_score,support
F,0.9,0.45,0.6,80
N,0.9809,0.9827,0.9818,9008
Q,0.0,0.0,0.0,2
SVEB,0.8366,0.6079,0.7042,278
VEB,0.8107,0.9287,0.8657,701
accuracy,,,0.9641,10069
